process_id,gen_num,gen_index,individual,fitness,run,robot,
0,5,22,203,1.230013631,1,babya,4.100045436
0,5,23,204,1.50985909,1,babya,5.032863635
0,5,24,205,2.156184079,1,babya,7.187280264
0,5,25,206,0.23129373,1,babya,0.770979098
0,5,26,207,0.311366453,1,babya,1.037888176
0,5,27,208,0.622325574,1,babya,2.074418581
0,5,28,209,2.05563401,1,babya,6.852113368
0,5,29,210,0.266459434,1,babya,0.888198112
0,6,0,221,2.05563401,1,babya,6.852113368
0,6,1,222,2.080805223,1,babya,6.936017411
0,6,2,223,2.156184079,1,babya,7.187280264
0,6,3,224,2.165140426,1,babya,7.217134753
0,6,4,225,2.177460606,1,babya,7.258202019
0,6,5,226,2.181596631,1,babya,7.27198877
0,6,6,227,2.21279562,1,babya,7.3759854
0,6,7,228,2.306149759,1,babya,7.687165865
0,6,8,229,2.402145341,1,babya,8.007151136
0,6,9,230,2.414640052,1,babya,8.048800173
0,6,10,231,0.979445741,1,babya,3.264819136
0,6,11,232,2.080805223,1,babya,6.936017411
0,6,12,233,0.63715336,1,babya,2.123844533
0,6,13,234,1.296859461,1,babya,4.322864871
0,6,14,235,0.781742845,1,babya,2.605809484
0,6,15,236,0.933731717,1,babya,3.112439055
0,6,16,237,1.880176586,1,babya,6.267255287
0,6,17,238,2.306149759,1,babya,7.687165865
0,6,18,239,0.067422268,1,babya,0.224740894
0,6,19,240,2.846778375,1,babya,9.48926125
0,6,20,241,1.595182897,1,babya,5.317276322
0,6,21,242,2.080805223,1,babya,6.936017411
0,6,22,243,0.046382921,1,babya,0.154609735
0,6,23,244,0.289639554,1,babya,0.96546518
0,6,24,245,0.906039928,1,babya,3.020133095
0,6,25,246,0.279112961,1,babya,0.930376536
0,6,26,247,1.36410309,1,babya,4.547010299
0,6,27,248,1.137740707,1,babya,3.792469024
0,6,28,249,3.424486359,1,babya,11.41495453
0,6,29,250,1.01286733,1,babya,3.376224433
0,7,0,261,2.165140426,1,babya,7.217134753
0,7,1,262,2.177460606,1,babya,7.258202019
0,7,2,263,2.181596631,1,babya,7.27198877
0,7,3,264,2.21279562,1,babya,7.3759854
0,7,4,265,2.306149759,1,babya,7.687165865
0,7,5,266,2.306149759,1,babya,7.687165865
0,7,6,267,2.402145341,1,babya,8.007151136
0,7,7,268,2.414640052,1,babya,8.048800173
0,7,8,269,2.846778375,1,babya,9.48926125
0,7,9,270,3.424486359,1,babya,11.41495453
0,7,10,271,2.757011411,1,babya,9.190038035
0,7,11,272,0.856502609,1,babya,2.855008698
0,7,12,273,0.623900366,1,babya,2.079667887
0,7,13,274,0.658168211,1,babya,2.193894038
0,7,14,275,0.49259353,1,babya,1.641978432
0,7,15,276,1.200451905,1,babya,4.001506349
0,7,16,277,0.458527222,1,babya,1.528424074
0,7,17,278,2.773855902,1,babya,9.246186341
0,7,18,279,2.846778375,1,babya,9.48926125
0,7,19,280,0.569893732,1,babya,1.899645773
0,7,20,281,1.036435106,1,babya,3.454783686
0,7,21,282,1.135074257,1,babya,3.783580856
0,7,22,283,0.930206639,1,babya,3.100688797
0,7,23,284,1.711072066,1,babya,5.703573552
0,7,24,285,1.049488189,1,babya,3.498293963
0,7,25,286,0.471266716,1,babya,1.570889052
0,7,26,287,0.651193501,1,babya,2.170645005
0,7,27,288,3.155395769,1,babya,10.5179859
